pygame 2.5.2 (SDL 2.28.3, Python 3.11.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
closing 'properly' ??
         508710 function calls (500427 primitive calls) in 1.845 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2553    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 inspect.py:3278(signature)
     1570    0.000    0.000    0.000    0.000 sprite.py:394(add_internal)
      631    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        2    0.000    0.000    0.000    0.000 subprocess.py:1282(_close_pipe_fds)
        1    0.000    0.000    0.000    0.000 platform.py:436(mac_ver)
        1    0.000    0.000    0.000    0.000 caret.py:1(<module>)
        1    0.000    0.000    0.000    0.000 platform.py:414(_mac_ver_xml)
     3307    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        3    0.000    0.000    0.000    0.000 inspect.py:3024(from_callable)
        1    0.000    0.000    0.000    0.000 sprite_list.py:1(<module>)
        1    0.000    0.000    0.000    0.000 paths.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1203(resource_exists)
    56/50    0.000    0.000    0.000    0.000 typing.py:1672(__repr__)
     1381    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       15    0.000    0.000    0.000    0.000 typing.py:1613(copy_with)
       13    0.000    0.000    0.000    0.000 pathlib.py:868(__new__)
        1    0.000    0.000    0.000    0.000 caret.py:59(Caret)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
      4/3    0.000    0.000    0.000    0.000 inspect.py:2428(_signature_from_callable)
       16    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        1    0.000    0.000    0.000    0.000 collision_handler.py:1(<module>)
     1570    0.000    0.000    0.000    0.000 sprite.py:418(has_internal)
       77    0.000    0.000    0.000    0.000 typing.py:1656(<genexpr>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:419(_populate)
        1    0.000    0.000    0.000    0.000 shadertoy.py:1(<module>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:588(_repr_fn)
       16    0.000    0.000    0.000    0.000 darwin_hid.py:392(_register_removal_callback)
  341/291    0.000    0.000    0.000    0.000 typing.py:1371(__hash__)
        1    0.000    0.000    0.000    0.000 warnings.py:96(_showwarnmsg)
        1    0.000    0.000    0.000    0.000 bb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:20(_showwarnmsg_impl)
   131/66    0.000    0.000    0.000    0.000 typing.py:226(_type_repr)
        1    0.000    0.000    0.000    0.000 pyglet_view.py:136(updateTrackingAreas)
     1215    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       10    0.000    0.000    0.000    0.000 enum.py:482(__prepare__)
        2    0.000    0.000    0.000    0.000 __init__.py:397(get_provider)
        1    0.000    0.000    0.000    0.000 tileset.py:139(Tileset)
      210    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
       22    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
     2415    0.000    0.000    0.000    0.000 {method 'normalize' of 'pygame.math.Vector2' objects}
       21    0.000    0.000    0.000    0.000 __init__.py:2081(getLogger)
       14    0.000    0.000    0.000    0.000 typing.py:2857(<dictcomp>)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
     2090    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 _make.py:1828(_add_eq)
       20    0.000    0.000    0.000    0.000 {built-in method _ctypes._dyld_shared_cache_contains_path}
        1    0.000    0.000    0.000    0.000 warnings.py:117(_formatwarnmsg)
       35    0.000    0.000    0.000    0.000 gameplay.py:159(draw_playfield_boarder)
        1    0.000    0.000    0.000    0.000 document.py:261(AbstractDocument)
        1    0.000    0.000    0.000    0.000 context.py:26(Context)
    34/24    0.000    0.000    0.000    0.000 typing.py:1507(__repr__)
        1    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:532(__new__)
      101    0.000    0.000    0.000    0.000 typing.py:299(_deduplicate)
        1    0.000    0.000    0.000    0.000 vertex_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pickle.py:1(<module>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:624(_cmp_fn)
      121    0.000    0.000    0.000    0.000 typing.py:1287(__getattr__)
        1    0.000    0.000    0.000    0.000 plistlib.py:865(load)
        1    0.000    0.000    0.000    0.000 linecache.py:26(getline)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 space_debug_draw_options.py:44(SpaceDebugDrawOptions)
     1501    0.000    0.000    0.000    0.000 {method 'get_size' of 'pygame.surface.Surface' objects}
        1    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.000    0.000 pymunk_physics_engine.py:1(<module>)
      185    0.000    0.000    0.000    0.000 _make.py:1035(<genexpr>)
        1    0.000    0.000    0.000    0.000 spatial_hash.py:1(<module>)
       35    0.000    0.000    0.000    0.000 sprite.py:1691(spritecollide)
        2    0.000    0.000    0.000    0.000 _make.py:1705(_add_hash)
        1    0.000    0.000    0.000    0.000 application.py:52(Window)
        1    0.000    0.000    0.000    0.000 linecache.py:80(updatecache)
        1    0.000    0.000    0.000    0.000 vec2d.py:62(Vec2d)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:548(__init__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:1694(__init__)
       23    0.000    0.000    0.000    0.000 pathlib.py:1008(stat)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:999(source_to_code)
        1    0.000    0.000    0.000    0.000 tileset.py:88(Tile)
       35    0.000    0.000    0.000    0.000 player.py:199(draw_life_bar)
      417    0.000    0.000    0.000    0.000 copyreg.py:104(__newobj__)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
    34/24    0.000    0.000    0.000    0.000 typing.py:1513(<listcomp>)
      171    0.000    0.000    0.000    0.000 typing.py:2412(get_origin)
        1    0.000    0.000    0.000    0.000 shape_filter.py:1(<module>)
       45    0.000    0.000    0.000    0.000 __init__.py:386(__getattr__)
        1    0.000    0.000    0.000    0.000 transform.py:7(Transform)
        1    0.000    0.000    0.000    0.000 layer.py:22(Layer)
       37    0.000    0.000    0.000    0.000 _make.py:1772(_make_order)
    82/34    0.000    0.000    0.000    0.000 _parser.py:174(getwidth)
        1    0.000    0.000    0.000    0.000 tiled_object.py:138(Tile)
     1381    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1381    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      122    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
    35/21    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        3    0.000    0.000    0.000    0.000 inspect.py:2333(_signature_from_function)
        1    0.000    0.000    0.000    0.000 constraints.py:86(Constraint)
        1    0.000    0.000    0.000    0.000 sprite_list.py:54(SpriteList)
      207    0.000    0.000    0.000    0.000 steeringbehaviour.py:104(seek)
        1    0.000    0.000    0.000    0.000 texture_atlas.py:108(TextureAtlas)
        1    0.000    0.000    0.000    0.000 plistlib.py:180(parse)
        1    0.000    0.000    0.000    0.000 inspect.py:3232(__str__)
        1    0.000    0.000    0.000    0.000 collision_handler.py:16(CollisionHandler)
        1    0.000    0.000    0.000    0.000 physics_engines.py:1(<module>)
      146    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
       23    0.000    0.000    0.000    0.000 dyld.py:99(dyld_default_search)
       12    0.000    0.000    0.000    0.000 pathlib.py:765(__truediv__)
      322    0.000    0.000    0.000    0.000 _parser.py:164(__getitem__)
       20    0.000    0.000    0.000    0.000 <frozen genericpath>:27(isfile)
       17    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:487(_get_protocol_attrs)
      227    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
  465/362    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 shadertoy.py:30(ShadertoyBase)
       45    0.000    0.000    0.000    0.000 runtime.py:663(set_instance_variable)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 earclip_module.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bmp.py:1(<module>)
       64    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
        4    0.000    0.000    0.000    0.000 inspect.py:2773(__str__)
        1    0.000    0.000    0.000    0.000 {method 'ParseFile' of 'pyexpat.xmlparser' objects}
      421    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      296    0.000    0.000    0.000    0.000 typing.py:1664(__eq__)
       12    0.000    0.000    0.000    0.000 pathlib.py:530(_make_child)
        3    0.000    0.000    0.000    0.000 {built-in method posix.open}
       76    0.000    0.000    0.000    0.000 _make.py:394(_has_own_attribute)
        1    0.000    0.000    0.000    0.000 _compat.py:39(__init__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      376    0.000    0.000    0.000    0.000 _make.py:1139(decide_callable_or_boolean)
      210    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       32    0.000    0.000    0.000    0.000 enum.py:1509(__and__)
        1    0.000    0.000    0.000    0.000 pymunk_physics_engine.py:30(PymunkPhysicsEngine)
       86    0.000    0.000    0.000    0.000 runtime.py:431(get_superclass_of_object)
      175    0.000    0.000    0.000    0.000 _parser.py:254(get)
        1    0.000    0.000    0.000    0.000 _callbacks.py:1(<module>)
        5    0.000    0.000    0.000    0.000 inspect.py:1441(formatannotation)
      372    0.000    0.000    0.000    0.000 sysfont.py:48(_addfont)
       41    0.000    0.000    0.000    0.000 runtime.py:667(get_instance_variable)
        2    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
       10    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        2    0.000    0.000    0.000    0.000 __init__.py:1698(_setup_prefix)
      717    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 colors.py:1(<module>)
       37    0.000    0.000    0.000    0.000 __init__.py:1467(debug)
       20    0.000    0.000    0.000    0.000 enum.py:939(_get_mixins_)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        5    0.000    0.000    0.000    0.000 runtime.py:990(__getattr__)
       37    0.000    0.000    0.000    0.000 typing.py:1641(<genexpr>)
        4    0.000    0.000    0.000    0.000 subprocess.py:1259(wait)
       35    0.000    0.000    0.000    0.000 sprite.py:1732(<listcomp>)
      301    0.000    0.000    0.000    0.000 typing.py:895(__eq__)
      662    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 program.py:25(Program)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
       13    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
       11    0.000    0.000    0.000    0.000 pathlib.py:1230(exists)
      596    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 agent.py:25(AgentType)
        1    0.000    0.000    0.000    0.000 __init__.py:1217(resource_stream)
       38    0.000    0.000    0.000    0.000 _make.py:410(_get_annotations)
        1    0.000    0.000    0.000    0.000 camera.py:12(Camera)
       55    0.000    0.000    0.000    0.000 typing.py:1669(__hash__)
        1    0.000    0.000    0.000    0.000 __init__.py:178(sub)
       45    0.000    0.000    0.000    0.000 runtime.py:422(get_class)
       45    0.000    0.000    0.000    0.000 __init__.py:393(__getitem__)
       38    0.000    0.000    0.000    0.000 _make.py:996(add_match_args)
       10    0.000    0.000    0.000    0.000 typing.py:1019(__init__)
        1    0.000    0.000    0.000    0.000 drawing_support.py:1(<module>)
        4    0.000    0.000    0.000    0.000 subprocess.py:2014(_wait)
      632    0.000    0.000    0.000    0.000 typing.py:1358(<genexpr>)
       35    0.000    0.000    0.000    0.000 camera.py:16(update)
        4    0.000    0.000    0.000    0.000 contextlib.py:509(callback)
       16    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
        1    0.000    0.000    0.000    0.000 texture.py:16(Texture)
       35    0.000    0.000    0.000    0.000 gameplay.py:258(handle_cooldown_keys)
      232    0.000    0.000    0.000    0.000 _parser.py:233(__next)
        1    0.000    0.000    0.000    0.000 emitter.py:104(Emitter)
       45    0.000    0.000    0.000    0.000 runtime.py:819(__new__)
        1    0.000    0.000    0.000    0.000 constraints.py:439(PivotJoint)
        1    0.000    0.000    0.000    0.000 glsl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 png.py:1307(Reader)
        1    0.000    0.000    0.000    0.000 types.py:1(<module>)
      122    0.000    0.000    0.000    0.000 _make.py:1621(_generate_unique_filename)
        5    0.000    0.000    0.000    0.000 runtime.py:880(get_instance_method)
        1    0.000    0.000    0.000    0.000 shapes.py:557(Poly)
      180    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        6    0.000    0.000    0.000    0.000 runtime.py:803(__call__)
        1    0.000    0.000    0.000    0.000 framebuffer.py:16(Framebuffer)
      660    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       34    0.000    0.000    0.000    0.000 subprocess.py:1878(<genexpr>)
        1    0.000    0.000    0.000    0.000 layer.py:104(TileLayer)
       14    0.000    0.000    0.000    0.000 _make.py:799(<dictcomp>)
        1    0.000    0.000    0.000    0.000 logger.py:27(setup_logging)
        1    0.000    0.000    0.000    0.000 sound.py:1(<module>)
       14    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       38    0.000    0.000    0.000    0.000 _make.py:1198(attrs)
      103    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      304    0.000    0.000    0.000    0.000 _make.py:1846(<genexpr>)
        6    0.000    0.000    0.000    0.000 runtime.py:769(__call__)
        1    0.000    0.000    0.000    0.000 vertex_array.py:371(Geometry)
        1    0.000    0.000    0.000    0.000 _make.py:2613(<listcomp>)
        1    0.000    0.000    0.000    0.000 tokenize.py:392(open)
        1    0.000    0.000    0.000    0.000 darwin_hid.py:469(HIDManager)
        1    0.000    0.000    0.000    0.000 shapes.py:24(Shape)
       37    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
      209    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        7    0.000    0.000    0.000    0.000 contextlib.py:260(contextmanager)
        1    0.000    0.000    0.000    0.000 draw_commands.py:1(<module>)
       70    0.000    0.000    0.000    0.000 sprite.py:1664(collide_mask)
        2    0.000    0.000    0.000    0.000 subprocess.py:1686(_get_handles)
        2    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 layer.py:167(LayerGroup)
        1    0.000    0.000    0.000    0.000 platform.py:590(_follow_symlinks)
        1    0.000    0.000    0.000    0.000 arcade_types.py:21(TiledObject)
       35    0.000    0.000    0.000    0.000 pathlib.py:546(__fspath__)
      141    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1502(has_resource)
       17    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
      185    0.000    0.000    0.000    0.000 _make.py:2401(_default_init_alias_for)
      196    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 glsl.py:10(ShaderSource)
        3    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vertex_array.py:17(VertexArray)
        1    0.000    0.000    0.000    0.000 _compat.py:1(<module>)
       47    0.000    0.000    0.000    0.000 pathlib.py:536(__str__)
      118    0.000    0.000    0.000    0.000 <frozen os>:806(fsencode)
        1    0.000    0.000    0.000    0.000 atlas.py:1(<module>)
       70    0.000    0.000    0.000    0.000 {built-in method pygame.draw.rect}
       11    0.000    0.000    0.000    0.000 typing.py:1851(__init_subclass__)
      399    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 runlist.py:1(<module>)
       10    0.000    0.000    0.000    0.000 enum.py:1004(_find_new_)
        1    0.000    0.000    0.000    0.000 arbiter.py:15(Arbiter)
       26    0.000    0.000    0.000    0.000 {built-in method def_extern_decorator}
       43    0.000    0.000    0.000    0.000 enum.py:686(__call__)
        2    0.000    0.000    0.000    0.000 typing.py:1804(__class_getitem__)
      620    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        7    0.000    0.000    0.000    0.000 typing_extensions.py:658(__init_subclass__)
      255    0.000    0.000    0.000    0.000 _make.py:2094(_assign)
       36    0.000    0.000    0.000    0.000 sprite.py:661(__init__)
       67    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      169    0.000    0.000    0.000    0.000 pathlib.py:239(splitroot)
        2    0.000    0.000    0.000    0.000 runtime.py:690(__init__)
      140    0.000    0.000    0.000    0.000 {built-in method pygame.draw.line}
        1    0.000    0.000    0.000    0.000 sections.py:259(SectionManager)
      285    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 _make.py:498(<setcomp>)
        1    0.000    0.000    0.000    0.000 query_info.py:11(PointQueryInfo)
       75    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.display.set_caption}
        1    0.000    0.000    0.000    0.000 scene.py:15(Scene)
      532    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      166    0.000    0.000    0.000    0.000 _parser.py:249(match)
        1    0.000    0.000    0.000    0.000 wang_set.py:60(WangSet)
        1    0.000    0.000    0.000    0.000 validators.py:381(_DeepIterable)
       20    0.000    0.000    0.000    0.000 __init__.py:1680(_parents)
       10    0.000    0.000    0.000    0.000 typing.py:945(__init__)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:72(CFUNCTYPE)
       20    0.000    0.000    0.000    0.000 enum.py:975(_find_data_type_)
        1    0.000    0.000    0.000    0.000 physics_engines.py:248(PhysicsEnginePlatformer)
       30    0.000    0.000    0.000    0.000 enum.py:929(_check_for_existing_members_)
       66    0.000    0.000    0.000    0.000 <frozen os>:756(encode)
      135    0.000    0.000    0.000    0.000 runtime.py:439(x86_should_use_stret)
       16    0.000    0.000    0.000    0.000 plistlib.py:201(handle_end_element)
        1    0.000    0.000    0.000    0.000 Image.py:153(Transpose)
        1    0.000    0.000    0.000    0.000 paths.py:54(_AStarGraph)
        2    0.000    0.000    0.000    0.000 <frozen os>:619(get_exec_path)
        5    0.000    0.000    0.000    0.000 __init__.py:66(add_decoders)
       92    0.000    0.000    0.000    0.000 enum.py:745(__delattr__)
       11    0.000    0.000    0.000    0.000 inspect.py:2686(__init__)
        1    0.000    0.000    0.000    0.000 emitter_simple.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1723(get_resource_stream)
       13    0.000    0.000    0.000    0.000 <frozen posixpath>:397(abspath)
       14    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
        1    0.000    0.000    0.000    0.000 colors.py:18(arcade_color)
       59    0.000    0.000    0.000    0.000 enum.py:826(__setattr__)
      401    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       16    0.000    0.000    0.000    0.000 _make.py:1660(append_hash_computation_lines)
        1    0.000    0.000    0.000    0.000 _make.py:52(_Nothing)
        1    0.000    0.000    0.000    0.000 _make.py:2639(_CountingAttr)
       43    0.000    0.000    0.000    0.000 _make.py:529(<genexpr>)
      190    0.000    0.000    0.000    0.000 _make.py:1172(_determine_whether_to_implement)
        1    0.000    0.000    0.000    0.000 __init__.py:453(LoadLibrary)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:614(ClassVar)
       78    0.000    0.000    0.000    0.000 typing.py:277(_check_generic)
        3    0.000    0.000    0.000    0.000 dyld.py:75(dyld_override_search)
       85    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      105    0.000    0.000    0.000    0.000 _parser.py:172(append)
    22/16    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
       18    0.000    0.000    0.000    0.000 __init__.py:2435(_is_egg_path)
      174    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _pickle.py:8(PickleMixin)
        1    0.000    0.000    0.000    0.000 buffer.py:13(Buffer)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
      131    0.000    0.000    0.000    0.000 _make.py:564(<genexpr>)
      198    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 _version_info.py:10(VersionInfo)
        1    0.000    0.000    0.000    0.000 world.py:80(RawWorld)
       14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        2    0.000    0.000    0.000    0.000 __init__.py:1589(_fn)
        1    0.000    0.000    0.000    0.000 compute_shader.py:1(<module>)
      305    0.000    0.000    0.000    0.000 _make.py:671(<genexpr>)
       35    0.000    0.000    0.000    0.000 player.py:214(bounce_off_walls)
       38    0.000    0.000    0.000    0.000 _make.py:1042(add_setattr)
       16    0.000    0.000    0.000    0.000 _parser.py:224(__init__)
       10    0.000    0.000    0.000    0.000 _make.py:2666(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:1489(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:343(_tp_cache)
        2    0.000    0.000    0.000    0.000 runtime.py:1013(convert_method_arguments)
       14    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mouse.set_visible}
      131    0.000    0.000    0.000    0.000 _make.py:997(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:342(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1714(_has)
       84    0.000    0.000    0.000    0.000 _parser.py:286(tell)
       18    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
        1    0.000    0.000    0.000    0.000 Image.py:173(Resampling)
        1    0.000    0.000    0.000    0.000 validators.py:648(_NotValidator)
        1    0.000    0.000    0.000    0.000 spatial_hash.py:26(_SpatialHash)
       75    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.000    0.000 uniform.py:7(Uniform)
      152    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 typing.py:348(decorator)
        1    0.000    0.000    0.000    0.000 shadertoy.py:418(Shadertoy)
        5    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       42    0.000    0.000    0.000    0.000 <frozen _collections_abc>:835(__iter__)
      113    0.000    0.000    0.000    0.000 _parser.py:160(__len__)
        1    0.000    0.000    0.000    0.000 animation.py:1(<module>)
       27    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
      183    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        2    0.000    0.000    0.000    0.000 contextlib.py:546(__exit__)
      162    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 tiled_object.py:61(Polygon)
        1    0.000    0.000    0.000    0.000 physics_engines.py:211(PhysicsEngineSimple)
       28    0.000    0.000    0.000    0.000 _make.py:1851(<dictcomp>)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        4    0.000    0.000    0.000    0.000 inspect.py:2972(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:164(Transform)
        2    0.000    0.000    0.000    0.000 subprocess.py:1135(_get_devnull)
       35    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.000    0.000 sprite.py:68(Sprite)
        9    0.000    0.000    0.000    0.000 <frozen posixpath>:150(dirname)
       42    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        5    0.000    0.000    0.000    0.000 util.py:166(add_decoders)
        3    0.000    0.000    0.000    0.000 dataclasses.py:228(_recursive_repr)
        6    0.000    0.000    0.000    0.000 runtime.py:757(get_callable)
       25    0.000    0.000    0.000    0.000 event.py:178(register_event_type)
        1    0.000    0.000    0.000    0.000 steeringbehaviour.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
        1    0.000    0.000    0.000    0.000 buffered_draw_commands.py:639(ShapeElementList)
       23    0.000    0.000    0.000    0.000 __init__.py:228(_acquireLock)
        4    0.000    0.000    0.000    0.000 util.py:45(asbytes)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      161    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:164(islink)
        1    0.000    0.000    0.000    0.000 validators.py:430(_DeepMapping)
        2    0.000    0.000    0.000    0.000 __init__.py:3229(_find_adapter)
       20    0.000    0.000    0.000    0.000 enum.py:770(__getattr__)
        1    0.000    0.000    0.000    0.000 Image.py:192(Dither)
        8    0.000    0.000    0.000    0.000 dyld.py:36(dyld_env)
       39    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
      393    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       12    0.000    0.000    0.000    0.000 dataclasses.py:827(_set_new_attribute)
        2    0.000    0.000    0.000    0.000 runtime.py:528(parse_type_encoding)
       40    0.000    0.000    0.000    0.000 _make.py:1736(<listcomp>)
        1    0.000    0.000    0.000    0.000 contact_point_set.py:46(ContactPointSet)
       19    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
        1    0.000    0.000    0.000    0.000 Image.py:205(Quantize)
        1    0.000    0.000    0.000    0.000 perf_graph.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _make.py:920(_make_getstate_setstate)
       17    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       25    0.000    0.000    0.000    0.000 pathlib.py:523(_format_parsed_parts)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        1    0.000    0.000    0.000    0.000 agent.py:38(BoundaryBehaviour)
        1    0.000    0.000    0.000    0.000 validators.py:135(_MatchesReValidator)
       53    0.000    0.000    0.000    0.000 typing.py:904(__hash__)
        1    0.000    0.000    0.000    0.000 world.py:46(World)
      175    0.000    0.000    0.000    0.000 cooldown_keys.py:26(run)
       75    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
       42    0.000    0.000    0.000    0.000 <frozen os>:697(__iter__)
        1    0.000    0.000    0.000    0.000 tokenize.py:299(detect_encoding)
        6    0.000    0.000    0.000    0.000 typing.py:1653(<genexpr>)
        1    0.000    0.000    0.000    0.000 platform.py:1106(python_implementation)
      211    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       86    0.000    0.000    0.000    0.000 <frozen os>:760(decode)
       11    0.000    0.000    0.000    0.000 _parser.py:446(_uniq)
